judet,an,ocupati_aff_eurostat_mii,ocupati_total_eurostat_mii,ocupati_aff_eurostat_nr,ocupati_total_eurostat_nr,pondere_ocupati_aff_eurostat,schimbare_pondere_ocupati_aff_eurostat,schimbare_ocupati_aff_eurostat_pct
Mures,2017,16.94,184.02,16940.0,184020.0,9.20552113900663,0.6361634226819213,10.214703968770333
Mures,2018,13.86,177.27,13860.0,177270.0,7.818581824335759,-1.3869393146708706,-18.181818181818176
Mures,2019,15.92,181.01,15920.0,181010.0,8.795094193690957,0.9765123693551985,14.862914862914867
Mures,2020,15.32,182.15,15320.0,182150.0,8.410650562723031,-0.384443630967926,-3.7688442211055273
Mures,2021,27.73,192.51,27730.0,192510.0,14.404446522258585,5.993795959535554,81.00522193211488
Mures,2022,27.26,194.0,27260.0,194000.0,14.051546391752579,-0.352900130506006,-1.6949152542372836
Neamt,2012,130.64,241.33,130639.99999999999,241330.0,54.1333443832097,,
Neamt,2013,143.77,254.02,143770.0,254020.0,56.597905676718376,2.464561293508673,10.050520514390705
Neamt,2014,150.47,263.71,150470.0,263710.0,57.05889044784044,0.4609847711220638,4.660221186617508
Neamt,2015,167.13,286.6,167130.0,286600.0,58.31472435450104,1.2558339066605981,11.071974479962776
Neamt,2016,141.97,258.54,141970.0,258540.00000000003,54.91219927283979,-3.4025250816612456,-15.05414946448872
Neamt,2017,141.37,264.97,141370.0,264970.0,53.353209797335545,-1.558989475504248,-0.42262449813340597
Neamt,2018,138.32,263.6,138320.0,263600.0,52.47344461305007,-0.8797651842854748,-2.157459149748886
Neamt,2019,141.17,269.86,141170.0,269860.0,52.31231008671162,-0.1611345263384507,2.060439560439553
Neamt,2020,132.57,257.85,132570.0,257850.00000000003,51.41361256544502,-0.8986975212665982,-6.091945880852867
Neamt,2021,117.75,250.3,117750.0,250300.0,47.043547742708746,-4.370064822736275,-11.178999773704456
Neamt,2022,112.7,253.02,112700.0,253020.0,44.54193344399652,-2.5016142987122265,-4.288747346072186
Olt,2012,110.09,187.22,110090.0,187220.0,58.80247836769576,,
Olt,2013,103.39,181.61,103390.0,181610.0,56.92968448873961,-1.872793878956152,-6.085929693886816
Olt,2014,99.0,180.0,99000.0,180000.0,55.00000000000001,-1.9296844887396034,-4.246058613018667
Olt,2015,78.51,155.76,78510.0,155760.0,50.40446841294299,-4.5955315870570175,-20.696969696969692
Olt,2016,78.85,163.0,78850.0,163000.0,48.374233128834355,-2.0302352841086346,0.43306585148388255
Olt,2017,82.42,175.0,82420.0,175000.0,47.097142857142856,-1.277090271691499,4.527584020291697
Olt,2018,82.0,174.34,82000.0,174340.0,47.03453022828955,-0.06261262885330865,-0.5095850521718015
Olt,2019,77.47,172.5,77470.0,172500.0,44.91014492753623,-2.1243853007533176,-5.5243902439024435
Olt,2020,70.11,165.41,70110.0,165410.0,42.385587328456566,-2.524557599079664,-9.500451787788823
Olt,2021,61.83,155.19,61830.0,155190.0,39.841484631741736,-2.5441026967148304,-11.810012836970474
